Season,Episode,Title,Release_date,Rating,Votes
1,1,Winter Is Coming,17-Apr-11,9.1,38639
1,2,The Kingsroad,24-Apr-11,8.8,29285
1,3,Lord Snow,1-May-11,8.7,27694
1,4,"Cripples, Bastards, and Broken Things",8-May-11,8.8,26284
1,5,The Wolf and the Lion,15-May-11,9.1,27349
1,6,A Golden Crown,22-May-11,9.2,27079
1,7,You Win or You Die,29-May-11,9.2,27556
1,8,The Pointy End,5-Jun-11,9,25645
1,9,Baelor,12-Jun-11,9.6,36217
1,10,Fire and Blood,19-Jun-11,9.5,31789
2,1,The North Remembers,1-Apr-12,8.8,24837
2,2,The Night Lands,8-Apr-12,8.5,23458
2,3,What Is Dead May Never Die,15-Apr-12,8.8,23178
2,4,Garden of Bones,22-Apr-12,8.8,22415
2,5,The Ghost of Harrenhal,29-Apr-12,8.8,22603
2,6,The Old Gods and the New,6-May-12,9.1,23612
2,7,A Man Without Honor,13-May-12,8.9,23003
2,8,The Prince of Winterfell,20-May-12,8.8,22729
2,9,Blackwater,27-May-12,9.7,39643
2,10,Valar Morghulis,3-Jun-12,9.4,28089
3,1,Valar Dohaeris,31-Mar-13,8.8,24808
3,2,"Dark Wings, Dark Words",7-Apr-13,8.6,22468
3,3,Walk of Punishment,14-Apr-13,8.9,22678
3,4,And Now His Watch Is Ended,21-Apr-13,9.6,30931
3,5,Kissed by Fire,28-Apr-13,9,23110
3,6,The Climb,5-May-13,8.8,22978
3,7,The Bear and the Maiden Fair,12-May-13,8.7,22223
3,8,Second Sons,19-May-13,9,22800
3,9,The Rains of Castamere,2-Jun-13,9.9,86759
3,10,Mhysa,9-Jun-13,9.2,25807
4,1,Two Swords,6-Apr-14,9.1,29302
4,2,The Lion and the Rose,13-Apr-14,9.7,45860
4,3,Breaker of Chains,20-Apr-14,8.9,24709
4,4,Oathkeeper,27-Apr-14,8.8,23734
4,5,First of His Name,4-May-14,8.7,22964
4,6,The Laws of Gods and Men,11-May-14,9.7,42269
4,7,Mockingbird,18-May-14,9.1,25582
4,8,The Mountain and the Viper,1-Jun-14,9.7,45935
4,9,The Watchers on the Wall,8-Jun-14,9.6,38665
4,10,The Children,15-Jun-14,9.7,37976
5,1,The Wars to Come,12-Apr-15,8.5,26063
5,2,The House of Black and White,19-Apr-15,8.5,22996
5,3,High Sparrow,26-Apr-15,8.5,22275
5,4,Sons of the Harpy,3-May-15,8.7,22877
5,5,Kill the Boy,10-May-15,8.6,23165
5,6,"Unbowed, Unbent, Unbroken",17-May-15,8,26236
5,7,The Gift,24-May-15,9,25303
5,8,Hardhome,31-May-15,9.9,87059
5,9,The Dance of Dragons,7-Jun-15,9.5,38099
5,10,Mother's Mercy,14-Jun-15,9.1,36939
6,1,The Red Woman,24-Apr-16,8.5,35873
6,2,Home,1-May-16,9.4,42207
6,3,Oathbreaker,8-May-16,8.7,30065
6,4,Book of the Stranger,15-May-16,9.1,32360
6,5,The Door,22-May-16,9.7,63527
6,6,Blood of My Blood,29-May-16,8.4,29884
6,7,The Broken Man,5-Jun-16,8.6,29021
6,8,No One,12-Jun-16,8.4,33040
6,9,Battle of the Bastards,19-Jun-16,9.9,185033
6,10,The Winds of Winter,26-Jun-16,9.9,128642
7,1,Dragonstone,16-Jul-17,8.6,46297
7,2,Stormborn,23-Jul-17,8.9,39903
7,3,The Queen's Justice,30-Jul-17,9.2,41611
7,4,The Spoils of War,6-Aug-17,9.8,78989
7,5,Eastwatch,13-Aug-17,8.8,39682
7,6,Beyond the Wall,20-Aug-17,9,57960
7,7,The Dragon and the Wolf,27-Aug-17,9.4,57484
8,1,Winterfell,14-Apr-19,7.6,121831
8,2,A Knight of the Seven Kingdoms,21-Apr-19,7.9,119961
8,3,The Long Night,28-Apr-19,7.5,200283
8,4,The Last of the Starks,5-May-19,5.5,152769
8,5,The Bells,12-May-19,6,177957
8,6,The Iron Throne,19-May-19,4.1,220581
